 ----jGRASP exec: java ComputeMonthlyLoanPayment

LOAN AMOUNT: 1000000
LOAN PERIOD IN YEARS: 5
--------------------
ANNUAL INTEREST RATE		MONTHLY PAYMENT		TOTAL PAYMENT			
5.000%				18871.23			1132274.02
5.125%				18928.56			1135713.31
5.250%				18985.98			1139159.03
5.375%				19043.52			1142611.17
5.500%				19101.16			1146069.73
5.625%				19158.91			1149534.71
5.750%				19216.77			1153006.09
5.875%				19274.73			1156483.89
6.000%				19332.80			1159968.09
6.125%				19390.98			1163458.70
6.250%				19449.26			1166955.70
6.375%				19507.65			1170459.10
6.500%				19566.15			1173968.89
6.625%				19624.75			1177485.07
6.750%				19683.46			1181007.64
6.875%				19742.28			1184536.59
7.000%				19801.20			1188071.91
7.125%				19860.23			1191613.61
7.250%				19919.36			1195161.68
7.375%				19978.60			1198716.12
7.500%				20037.95			1202276.92
7.625%				20097.40			1205844.07
7.750%				20156.96			1209417.59
7.875%				20216.62			1212997.45
8.000%				20276.39			1216583.66

 ----jGRASP: operation complete.
